City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
674,Kishi,NG,78.15,scattered clouds,9.0833,3.85,New NCCF KISI
682,Garissa,KE,80.29,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
683,Fortuna Foothills,US,87.22,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
684,Tuburan,PH,80.19,broken clouds,6.6439,122.2736,GT Site
690,Surt,LY,76.1,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
697,Paysandu,UY,79.61,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
703,Sulphur Springs,US,85.95,broken clouds,33.1385,-95.6011,Clarion Pointe Sulphur Springs
706,Hobyo,SO,79.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
708,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
712,Santo Antonio Do Ica,BR,86.27,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
714,Cape Coast,GH,78.49,scattered clouds,5.1053,-1.2466,Samrit Hotel
720,San Diego De Los Banos,CU,82.96,overcast clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
722,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
