City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Gunjur,GM,2021-10-23 16:51:44,13.2019,-16.7339,93.27,52,40,6.91
228,Hithadhoo,MV,2021-10-23 16:51:44,-0.6,73.0833,82.35,74,100,11.23
229,Talnakh,RU,2021-10-23 16:51:44,69.4865,88.3972,22.26,96,100,7.09
230,Dejen,ET,2021-10-23 16:51:45,10.1667,38.1333,54.61,58,73,3.69
231,Kenai,US,2021-10-23 16:50:25,60.5544,-151.2583,41.14,93,90,9.22
232,Surin,TH,2021-10-23 16:51:45,14.8818,103.4936,70.41,87,71,10.42
233,Areia Branca,BR,2021-10-23 16:51:46,-4.9561,-37.1369,93.4,60,66,17.36
234,Mustasaari,FI,2021-10-23 16:51:46,63.1142,21.6822,34.9,86,90,9.22
235,Belovo,RU,2021-10-23 16:51:47,54.4165,86.2976,39.63,87,100,23.11
236,Los Llanos De Aridane,ES,2021-10-23 16:51:47,28.6585,-17.9182,67.12,82,75,1.99
237,Sao Joao Da Barra,BR,2021-10-23 16:51:21,-21.6403,-41.0511,80.69,78,29,15.46
238,Palimbang,PH,2021-10-23 16:51:48,6.2106,124.1894,77.54,84,100,2.35
239,North Platte,US,2021-10-23 16:51:48,41.1239,-100.7654,44.49,76,90,4.61
240,Lookan,PH,2021-10-23 16:51:49,5.037,120.1027,80.65,79,100,4.99
241,Nokaneng,BW,2021-10-23 16:51:50,-19.6667,22.2667,90.07,18,31,2.1
242,Araouane,ML,2021-10-23 16:51:51,18.9048,-3.5265,95.13,16,25,3.58
243,Kaoma,ZM,2021-10-23 16:51:51,-14.7833,24.8,83.39,29,63,2.19
244,Swan Hill,AU,2021-10-23 16:51:52,-35.3378,143.5544,45.32,92,0,10.2
245,Airai,TL,2021-10-23 16:51:52,-8.9266,125.4092,61.74,86,82,1.48
246,Sola,VU,2021-10-23 16:51:52,-13.8833,167.55,81.0,76,19,15.93
247,Cherskiy,RU,2021-10-23 16:51:53,68.75,161.3,-6.43,100,100,2.37
